NumTransactions,NumWriteTransactions,NumReadTransactions,WriteTotalSum,ReadTotalSum,Byzgen_wall_sum,,,WriteThru,ReadThru,TotalThru
257,70,187,991.114552,1734.721896,2725.88744,,,0.150637531,0.149826175,0.150270651
552,244,308,1241.589806,1502.812921,2744.473799,,,,,
331,331,0,2727.498053,0,2727.550466,,,,,
539,539,0,2742.900176,0,2742.967476,,,,,
377,301,76,1765.7027,969.763211,2735.524473,,,,,
245,102,143,1135.661493,1589.709137,2725.419831,,,,,
525,136,389,660.655842,2084.474847,2745.20725,,,,,
465,98,367,823.498223,1929.887739,2753.453357,,,,,
3291,1821,1470,12088.62085,9811.369751,21900.48409,,,,,
,,,6.638451864,6.674401191,6.654659402,,,,,