numtransactions,tournament_get_winner_wall_sum,tournament_proof_wall_sum,tournament_reveal_wall_sum,total
142,0.002856,2.476875,106.997205,109.476936
76,0.001343,1.411363,90.784056,92.196762
77,0.002168,1.437031,92.595953,94.035152
80,0.001457,1.51201,90.634804,92.148271
71,0.001156,1.299447,91.606814,92.907417
65,0.001186,1.230989,90.750468,91.982643
72,0.00155,1.311414,91.582097,92.895061
93,0.00171,1.714462,93.694927,95.411099
74,0.00152,1.402422,90.735211,92.139153
61,0.001203,1.13703,78.078957,79.21719
93,0.001924,1.729906,93.409729,95.141559
112,0.002162,1.992567,94.720554,96.715283
92,0.001402,1.610505,92.527621,94.139528
61,0.00094,1.151089,78.833293,79.985322
82,0.001313,1.518366,92.868201,94.38788
95,0.001739,1.751731,93.638393,95.391863
143,0.003107,2.534524,109.777057,112.314688
116,0.002164,2.103102,93.932577,96.037843
120,0.001854,2.154497,94.368935,96.525286
78,0.001407,1.412325,91.999242,93.412974
83,0.001363,1.533099,91.718051,93.252513
73,0.001695,1.334263,90.794238,92.130196
78,0.001362,1.433489,91.214773,92.649624
91,0.00176,1.723623,92.845266,94.570649
80,0.001357,1.456866,91.021346,92.479569
59,0.000987,1.105836,78.448565,79.555388
72,0.001382,1.33337,91.447833,92.782585
84,0.001232,1.553029,92.934017,94.488278
65,0.000916,1.214391,91.360489,92.575796
58,0.001086,1.083034,78.200875,79.284995